RepeatUnitSMILES,PropertyValue,TestFreq,TestFreqUnit,TestTemp,TestTempUnit
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.0005,0.01,KHz,-150,C
*Oc1ccc(*)cc1,0.000509554,1,kHz,125,C
*Oc1ccc(*)cc1,0.000511111,100,kHz,250,C
*Oc1ccc(*)cc1,0.000514541,100,kHz,275,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00052,100,KHz,25,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00054,10,KHz,-100,C
*Sc1ccc(*)cc1,0.00055,0.01,KHz,30,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00055,0.1,KHz,225,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00055,0.4,KHz,225,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.00055,1,KHz,225,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00055,0.1,KHz,150,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00055,0.4,KHz,150,C
*c4ccc(c3nc2cc1sc(*)nc1cc2s3)cc4,0.00055,1,KHz,150,C
*CC(*)c1ccc(Cl)cc1,0.00056,0.1,kHz,25,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00056,1,KHz,-100,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00056,100,KHz,-50,C
*Oc1ccc(*)cc1,0.000568421,1,kHz,175,C
*Oc1ccc(*)cc1,0.000573248,100,kHz,175,C
*Sc1ccc(*)cc1,0.00058,0.0001,KHz,30,C
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00058,0.1,KHz,-100,C
*Oc1ccc(*)cc1,0.000588235,100,kHz,300,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0006,0.1,kHz,25,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0006,10,kHz,150,C
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,0.0006,10,kHz,200,C
*CC(CC(CC(*)n3c1ccccc1c2ccccc23)n6c4ccccc4c5ccccc56)n9c7ccccc7c8ccccc89,0.0006,10,kHz,25,C
*CC(*)CC(C)C,0.0006,1,KHz,50,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0006,100,kHz,-100,C
