RepeatUnitSMILES,td_value
*Oc1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(Oc4ccc(-c5ccc(*)cc5)cc4)cc3)n2)cc1,554
*Oc1ccc(-c2ccc(Oc3ccc4c(c3)C3=Nc5[nH]c(c6ccc(Oc7ccc(-c8ccc(O*)cc8)cc7)cc56)N=C5NC(N=c6[nH]c(c7ccc(*)cc67)=NC4N3)c3cc(*)ccc35)cc2)cc1,540.25
*Oc1ccc(-c2ccc(Oc3ccc(-c4nc(-c5ccc(Oc6ccc(-c7ccc(O*)cc7)cc6)cc5)nc(-c5ccc(Oc6ccc(-c7ccc(O*)cc7)cc6)cc5)n4)cc3)cc2)cc1,565.4
*Oc1ccc(-c2ccc(-c3ccc(-c4ccc(Oc5ccc6c(c5)c5cc(*)ccc5n6CC(CC)CCCC)c(C#N)c4)cc3)cc2)cc1C#N,435
*Oc1ccc(-c2ccc(-c3ccc(-c4ccc(Oc5ccc(/C=C/c6ccc7c(c6)C(CCCCCC)(CCCCCC)c6cc(/C=C/c8ccc(*)cc8)ccc6-7)cc5)c(C#N)c4)cc3)cc2)cc1C#N,501
*Oc1ccc(C2(c3ccc(Oc4cccc(*)c4C#N)cc3)c3ccccc3-c3ccccc32)cc1,504.5875
*Oc1ccc(C(c2ccc(Oc3cccc(*)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,505
*Oc1ccc(C(c2ccc(*)cc2)(C(F)(F)F)C(F)(F)F)cc1,460
*Oc1ccc(C(C)(C)c2ccc(OCC(O)COc3ccc(C(C)(C)c4ccc(OCC(O)N(*)c5ccc(Oc6ccc(C#N)c(C#N)c6)cc5)cc4)cc3)cc2)cc1,382
*Oc1ccc(C(C)(C)c2ccc(Oc3cccc(*)c3)cc2)cc1,510
*Oc1ccc(C(=O)c2ccc(Oc3cccc(*)c3C#N)cc2)cc1,510.3333333
*Oc1ccc(C(=O)c2ccc(Oc3cccc(*)c3)cc2)cc1,515
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,492
*Oc1ccc(C#CC#Cc2ccc(O[Si](*)(c3ccccc3)c3ccccc3)cc2)cc1,540
*Oc1cc(Oc2ccc(C(C)(C)c3ccc(*)cc3)cc2)cc(C(=O)Oc2ccc(/N=N/c3ccc(C#N)cc3)cc2)c1,403
*O[SiH](*)C,354.755
*O[Si](*)(C)CCCOc1ccc(C(=O)Oc2ccc(OC)cc2)cc1,296
*O[Si](*)(C)CCCOc1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2)cc1,200
*Nc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(-c5nn(-c6ccc(C(*)=O)cc6)c(=O)c6ccccc56)cc4)cc3)cc2)cc1.CC#N,456
*Nc1cc(NC(=O)c2cccc(C(*)=O)c2)cc(C(=O)Oc2ccc(Oc3ccc(C#N)c(C#N)c3)cc2)c1,370
*COc1cccc(OCC#C[Si](*)(C)C)c1,440
*CCN(CCOC(=O)c1ccc(C(=O)O*)cc1)c1ccc(C=C(C#N)C#N)cc1,369
*CCN(CCOC(=O)c1ccc(C(=O)O*)c(OCCC)c1)c1ccc(C=C(C#N)C#N)cc1,369
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc6c(c5)C(=O)N(c5cc(C(=O)O)cc(N7C(=O)c8ccc(Oc9ccc(C(C)(C)c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)cc9)cc8C7=O)c5)C6=O)cc4)cc3)cc2C1=O,497
